M03,M10,M18,M22,M23,M24,M25,M27,M28,M29,M30,M32,M33,M34,M36,M37,M39,M40,M41,M42,M43,M44
-1.7768000000000002,-1.7768000000000002,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-2.0170000000000003,-1.945,-1.945
-0.519,-0.519,-0.637,-0.637,-0.637,-0.637,-0.637,-0.637,-0.637,-0.637,-0.637,-0.48600000000000004,-0.48600000000000004,-0.48600000000000004,-0.48600000000000004,-0.48600000000000004,-0.48600000000000004,-0.48600000000000004,-0.48600000000000004,-0.48600000000000004,-0.673,-0.673
